limit_samples,delta_att,success_rate,z_avg
15,2.5,0.042,0.00041357556882736234
30,2.5,0.028000000000000004,0.018307393949427146
75,2.5,0.062,0.08802657697210131
150,2.5,0.044000000000000004,0.1140937436803215
300,2.5,0.07200000000000001,0.18249089574498512
750,2.5,0.07,0.23075228012653454
1500,2.5,0.07999999999999999,0.38067885458602885
3000,2.5,0.10400000000000001,0.5238992624800194
7500,2.5,0.138,0.5792134589450231
15000,2.5,0.13,0.66833357678381
30000,2.5,0.15,0.6705888414288045
15,5.0,0.041999999999999996,0.023806348951995775
30,5.0,0.057999999999999996,0.113210877275472
75,5.0,0.057999999999999996,0.17645898201990792
150,5.0,0.092,0.320379328597835
300,5.0,0.118,0.48917604706478957
750,5.0,0.20400000000000001,0.9037906510497236
1500,5.0,0.244,1.013968353050669
3000,5.0,0.304,1.1866972941168903
7500,5.0,0.35800000000000004,1.37045000376364
15000,5.0,0.314,1.3282552285816298
30000,5.0,0.344,1.27167973086936
15,7.5,0.022000000000000002,0.0019603679025803956
30,7.5,0.128,0.4104799625557053
75,7.5,0.13799999999999998,0.13070767675617734
150,7.5,0.21000000000000002,0.7091465592217785
300,7.5,0.31599999999999995,1.2054972376054602
750,7.5,0.43000000000000005,1.6037808825206732
1500,7.5,0.4720000000000001,1.842023414697951
3000,7.5,0.48599999999999993,1.831929824154131
7500,7.5,0.5279999999999999,2.0825454010511657
15000,7.5,0.49799999999999994,1.922804590801686
30000,7.5,0.458,1.741687464302191
15,10.0,0.092,0.2350770933459141
30,10.0,0.32200000000000006,1.2711585397758016
75,10.0,0.33599999999999997,0.6143499050790471
150,10.0,0.45600000000000007,1.3618711560606658
300,10.0,0.558,2.1978072955748718
750,10.0,0.6119999999999999,2.4808774103475133
1500,10.0,0.666,2.961030465289462
3000,10.0,0.6880000000000001,2.8939452312622427
7500,10.0,0.66,2.589100056494153
15000,10.0,0.608,2.2307835995457923
30000,10.0,0.558,2.138033372567417
